artist,album,track,uri
UMI,Balance,Ordinary,spotify:track:5Xhsf1DLA9j2pVyCbqjkLh
Bad Bunny,Un Verano Sin Ti,Tití Me Preguntó,spotify:track:1IHWl5LamUGEuP4ozKQSXZ
brb.,move,move,spotify:track:2Ryp5LkAWyJwRqoFd8N7Kk
Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),spotify:track:09gysnJpfQ3ublBmJDfcEC
Kanye West,The Life Of Pablo,Father Stretch My Hands Pt. 1,spotify:track:4KW1lqgSr8TKrvBII0Brf8
Rema,Woman,Woman,spotify:track:62N0RkCCs4XQXk7hgnpOXo
The Weeknd,"My Dear Melancholy,",Call Out My Name,spotify:track:09mEdoA6zrmBPgTEN5qXmN
Mac Miller,The Divine Feminine,Soulmate,spotify:track:2puHJmjL4jvO19aEA7kzcb
Mitski,Laurel Hell,Should've Been Me,spotify:track:5FQ9NDyx3KZXhovWWq4Gxo
Kali Uchis,ORQUÍDEAS,Labios Mordidos (with KAROL G),spotify:track:5ycn8M0WNGedabDuaH9mQT
Chris Lake,A Drug From God,A Drug From God,spotify:track:4skbQNtyjy8A7mo8oqe2oD
Kanye West,Yeezus,Bound 2,spotify:track:3sNVsP50132BTNlImLx70i
KAYTRANADA,BUBBA,Vex Oh feat. GoldLink & Ari PenSmith,spotify:track:4n358XQMHXd0xi6NazWdxr
Doechii,Alter Ego (with JT),Alter Ego (with JT),spotify:track:2xaaJcmvMOmpDbTwlWnjFh
Cautious Clay,Tokyo Lift (5am),Tokyo Lift (5am),spotify:track:3nNHdtE7GDHCBwt6mA1D4M
The Marías,Submarine,Run Your Mouth,spotify:track:19fKJrO9XdOf6Xla2QHecO
Hassan Abou Seoud,The Soul of Bellydance,Shik Shak Shok,spotify:track:3GOw7QSPfyAiEpdmljNR79
EKKSTACY,i walk this earth all by myself,i walk this earth all by myself,spotify:track:5a8QUc4ubHJqQm7vzs2YhA
piri & tommy,Beach House & EDM Lounge,on & on,spotify:track:1TuhfxGcLz0UZLWJVOd1ru
Filthy Blondes,Filthy Blondes,Cocaine,spotify:track:0klELOyrreL6YprkC7B0wj
SZA,Ctrl,Normal Girl,spotify:track:5fQBa4wkmq28xpSLOQ202K
"Tyler, The Creator",Cherry Bomb + Instrumentals,"FUCKING YOUNG / PERFECT (feat. Charlie Wilson, Chaz Bundick, Sydney Bennett & Kali Uchis)",spotify:track:6738dceRZVHz8VumfBH7aI
Tinashe,Quantum Baby,No Broke Boys,spotify:track:5yTYLJY7Atcew0MHm7bmjk
Drake,If You're Reading This It's Too Late,Energy,spotify:track:79XrkTOfV1AqySNjVlygpW
Julien Doré,Chou Wasabi (feat. Micky Green),Chou Wasabi (feat. Micky Green) - Radio Edit,spotify:track:1z2LJvcMcvzy0dLUE4APSo
Lapili,Piligrossa,Dirty Diabla,spotify:track:7KeVNeviSODgn78nCY3r1W
Alonzo,Capo Dei Capi,Elle t’a tué,spotify:track:0gfQf6PBw6aPv6GVwfTSIj
Bizzey,Traag,Traag,spotify:track:26rVJH5zUQ7Yihz6c850Sn
Kali Uchis,ORQUÍDEAS,Diosa,spotify:track:3RleMgz4iO0BNezGdSxDnY
Kali Uchis,Isolation,Tyrant (feat. Jorja Smith),spotify:track:4FZOSDwALdWxcGcRbwXWJ8
Dylan Fuentes,báilame en los besos (with Danny Ocean & Daramola),báilame en los besos (with Danny Ocean & Daramola),spotify:track:2Ux9T8N2b0GRTOSfenwxlr
Future,WE STILL DON'T TRUST YOU,We Still Don't Trust You,spotify:track:7sVbKoBdhXtYCEOO6qC1SN
Luna Luna,Flower Moon,Golden,spotify:track:610tIflXZsTZYl8qdWoAo2
Taylor Swift,1989,Style,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5
Wallows,Drunk on Halloween,Drunk on Halloween,spotify:track:0z9dPcBhJvqO06QMaKelUE
Billie Eilish,HIT ME HARD AND SOFT,THE DINER,spotify:track:1LLUoftvmTjVNBHZoQyveF
killkiyoshi,SAME SHIT,SAME SHIT,spotify:track:10CD2XL6jr61GJnACYwqkh
marQ,Oh Yeah,Oh Yeah,spotify:track:0CRi2gwIqQAPHvrBrs1KnP
Nathanie,BPM,BPM,spotify:track:1vTZMKaN1xeyqDsBqpGaiy
Alejo,Un Poquito,Un Poquito,spotify:track:1nU4sOQqqhFUqS0TiRlD0V
фрози,kompa pasión,kompa pasión,spotify:track:1EwIdgeVfiXTIDfFHpgqfI
Billie Eilish,HIT ME HARD AND SOFT,BLUE,spotify:track:2prqm9sPLj10B4Wg0wE5x9
Kendrick Lamar,untitled unmastered.,untitled 08 | 09.06.2014.,spotify:track:5bBUDJUfGcG7eFy3Bf4fXv
Esaam Satti,أهل العمار (feat. Ali Naseraldeen),أهل العمار (feat. Ali Naseraldeen),spotify:track:1poqei4HbPw5lN3UL1rWKv
Aminé,Good For You,Hero,spotify:track:7yQ2NWAIeDcIEauyVG5lck
Amaarae,Fountain Baby,Princess Going Digital,spotify:track:6KS5iyM4uDuJ6oAacMSXha
Bryson Gray,Maga Ain't Got No Color,Trump Is Your President,spotify:track:3PdQfXbIuEjUoNlCy6JQCM
HONNE,Warm on a Cold Night (feat. Aminé),Warm on a Cold Night (feat. Aminé),spotify:track:1MYK39bbxvYX0LzS30mlqU
Clairo,Immunity,Bags,spotify:track:6UFivO2zqqPFPoQYsEMuCc
Chance the Rapper,Coloring Book,No Problem (feat. Lil Wayne & 2 Chainz),spotify:track:0v9Wz8o0BT8DU38R4ddjeH
Sabrina Carpenter,emails i can't send,Nonsense,spotify:track:6dgUya35uo964z7GZXM07g
Malcolm Todd,Sweet Boy,New Friends (feat. Eem Triplin),spotify:track:6dc1efEhnYMzVwz05VY4ZP
The Weeknd,Beauty Behind The Madness,Tell Your Friends,spotify:track:1mhVXWduD8ReDwusfaHNwU
Kodak Black,No Flockin',No Flockin',spotify:track:34oWbFBfGEElvgO0a5c9V4
Leon Thomas,MUTT,MUTT,spotify:track:2uvE4L5ZsYKpv8hbK4TIOt
Wallows,Nothing Happens,Scrawny,spotify:track:1pNUmVxDiE8t6P1XxcZAv8
Malcolm Todd,Demos Before Prom,Hesitating,spotify:track:5Tz5c3dEZVT1Bj3sILyuGS
RIMON,BBYGIRL FOCU$,sugarcoated love,spotify:track:1cNJFRMqrc87DD4hqfVehj
Timba JD,قولي ليه,قولي ليه,spotify:track:7hlkjrFlkTUrC9SgJDe9HF
21 Savage,SAVAGE MODE II,Many Men,spotify:track:3CDVMejYHnB1SkEEx0T1N4
V.I.C.,Beast,Wobble,spotify:track:6JLcz9UGiVxAmEZXlCucn5
Gunna,DS4EVER,pushin P (feat. Young Thug),spotify:track:3LnpBazWpD31QMTn6LgVGv
Montell Fish,2 seater,2 seater,spotify:track:3hU9W3drI6DjpQnvx53osT
Still Woozy,"If This Isn’t Nice, I Don’t Know What Is",Window,spotify:track:42Fm8hxhh8i0Zx0Si7XIxd
JABiD,JABiD atini ala tawahini جبد أعطيني على طواحيني,Caramela Sexy Lady كرملة السكسي ليدي,spotify:track:3dRHSSgnvbJDXJ3Fz4X1mQ
Ella Mai,Trip,Trip,spotify:track:7noud145AHZGg74vpWOsCa
Arctic Monkeys,AM,I Wanna Be Yours,spotify:track:5XeFesFbtLpXzIVDNQP22n
RIMON,BBYGIRL FOCU$,dust,spotify:track:1kR2AzyFnBVzKIjjgMftoO
Naira Marley,Soapy,Soapy,spotify:track:1SlqJxitLASHinl3X0Mvkn
J Balvin,Mi Gente,Mi Gente,spotify:track:4ipnJyDU3Lq15qBAYNqlqK
Jennifer Lopez,Love?,On The Floor,spotify:track:3C0nOe05EIt1390bVABLyN
Vacations,Changes,Telephones,spotify:track:0JIMT9gzLIIz0esKLyjbKf
Spencer.,Are U Down?,MyLuv,spotify:track:3ZY2Njwhu6BX89Srm0aNIb
Monsieur Periné,Caja de Música,Nuestra Canción,spotify:track:5reQI13tWWYDLMrGcUF4Mk
Denden,Ils se demandent,Ils se demandent,spotify:track:4Bqa1dZPJfHKRfUVRLsSW1
Miguel,All I Want Is You,Sure Thing,spotify:track:0JXXNGljqupsJaZsgSbMZV
beabadoobee,This Is How Tomorrow Moves,Beaches,spotify:track:1a19jsjG2DvbN1fVJonKUU
Wizkid,Sounds From The Other Side,Daddy Yo,spotify:track:2hKLu5akQZ9BbrCQVXM2cZ
¿Téo?,Sol,¿Do U Wanna Leave?,spotify:track:4UMlOal99bl0eYODbT7gYt
Sabrina Carpenter,Short n' Sweet,Don’t Smile,spotify:track:09LrGvT9KsACH66RHYMDyR
The Marías,Cariño,Cariño,spotify:track:55DyBUkjebkcYhDGfEXitR
фрози,Afro Jazz,Afro Jazz,spotify:track:1XoSxbGeItsxcv5RCMWucE
Khalid,Coaster,Coaster,spotify:track:7xSNmARgtbYjg9KqB4QA8P
Drake,More Life,Passionfruit,spotify:track:5mCPDVBb16L4XQwDdbRUpz
Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",spotify:track:0WbMK4wrZ1wFSty9F7FCgu
Kanye West,Graduation,Flashing Lights,spotify:track:4lS5zzdpzIGvgXtw9tVRW9
Lil Baby,Street Gossip,Pure Cocaine,spotify:track:577YBGuskWkVDCxZrLRB4v
underscores,Wallsocket,Johnny johnny johnny,spotify:track:60qaApzoNFsAXhhPc5zDxh
Rema,Soundgasm,Soundgasm - Dj Yo! X Max Wallin’ Remix,spotify:track:3f2VB4c1gPsz5dC9h2qMcS
Aminé,Good For You,Turf,spotify:track:6ODTw5ivAheWBql4tCiNkl
JVKE,this is what falling in love feels like,this is what falling in love feels like,spotify:track:4UG2Fm0E98LhE2dlNxiAXx
Odetari,GMFU (w/ 6arelyhuman),GMFU (w/ 6arelyhuman),spotify:track:4D1k6x4MXTaSnljSvAXhaf
PinkPantheress,Passion,Passion,spotify:track:6ZJqCviTotiIujl1rfcL53
Aminé,Good For You,Beach Boy,spotify:track:1jNyxG5S2P9gztbfAnrq85
Mishaal Tamer,ITTY BITTY,ITTY BITTY,spotify:track:0pcvgRYZOEujTeQIe4LUVj
midnight Berlin,Move,Move,spotify:track:1XHDV6SXCnyKKlp2KM8vHo
Burna Boy,I Told Them...,City Boys,spotify:track:4RoKNqyZ9622tcAeNPNv5k
natori,Overdose,Overdose,spotify:track:2Dzzhb1oV5ckgOjWZLraIB
kiki wera,Pool,Pool,spotify:track:0NluM9IZaakqiVPY8CyvlZ
Lunay,Soltera (Remix),Soltera (Remix),spotify:track:1c0hsvHLELX6y8qymnpLKL
Far East Movement,Free Wired,Like A G6,spotify:track:4DvhkX2ic4zWkQeWMwQ2qf
Lana Del Rey,Ultraviolence,Sad Girl,spotify:track:11MyiSGZSYSmhhqwGUTtAq
Kabusa Oriental Choir,Soso,Soso,spotify:track:0898mJTnW06D7PZyduQMvO
DNCE,DNCE,Cake By The Ocean,spotify:track:76hfruVvmfQbw0eYn1nmeC
BROCKHAMPTON,iridescence,TONYA,spotify:track:0QV83q2vzzOM4uODVyXf7i
Rema,Soundgasm,Soundgasm,spotify:track:5c549LWiKCWGvcDsZwMN6v
Zack Fox,Jesus Is The One (I Got Depression),Jesus Is The One (I Got Depression),spotify:track:1YR9iNGXtsbrd8deR9ULDD
Beach House,Depression Cherry,Space Song,spotify:track:7H0ya83CMmgFcOhw0UB6ow
The Weeknd,The Idol Episode 4,"One Of The Girls (with JENNIE, Lily Rose Depp)",spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW
Ariana Grande,Dangerous Woman,Let Me Love You,spotify:track:49vZduMPCMnDDrl1WBxUDk
Bayou,Casablanca,Casablanca,spotify:track:7KUD0DCUG8JWYuI2Yu1lmR
A$AP Rocky,Sundress,Sundress,spotify:track:2aPTvyE09vUCRwVvj0I8WK
Spencer.,Automatic,Automatic,spotify:track:4hBNUgMmAm0lrMilgd4RVW
"Tyler, The Creator",CHROMAKOPIA,Like Him (feat. Lola Young),spotify:track:6jbYpRPTEFl1HFKHk1IC0m
ITALO SENA,Faz de Chicote,Faz de Chicote,spotify:track:3LSoo9OiPF4OQ3LQbyqXE0
H_art the Band,My Jaber (Friday) [feat. Brizy Annechild],My Jaber (Friday) [feat. Brizy Annechild],spotify:track:7dRp6RR4fv0tvp4fqwVIJ3
Dominic Fike,Sunburn,Pasture Child,spotify:track:5APPlPgagEAXjGLIizqSDS
Bea Miller,FEEL SOMETHING DIFFERENT,FEEL SOMETHING DIFFERENT,spotify:track:5Q4UX8hxcaJEtAE9RtsmSY
Aminé,Turf,Turf,spotify:track:2TGBmFcWHLsF68Pnk7MXZv
Childish Gambino,"""Awaken, My Love!""",Redbone,spotify:track:3kxfsdsCpFgN412fpnW85Y
Filthy Blondes,Filthy Blondes,Comedown,spotify:track:32XmVdRozMacGENGf721lm
Stan Getz,Getz/Gilberto,The Girl From Ipanema,spotify:track:7znjbX9XdoQayIrVNdd50Z
Aminé,Good For You,Dakota,spotify:track:45oGS3iHeT2cvkihSP7KzK
Kali Uchis,ORQUÍDEAS,Young Rich & In Love,spotify:track:2R6tflIwv19qoYxg5hYLVh
Gym Class Heroes,The Papercut Chronicles,Cupid's Chokehold / Breakfast in America,spotify:track:2Lhdl74nwwVGOE2Gv35QuK
Ella Mai,Time,A Thousand Times,spotify:track:3ZzKKSPEOIfaSqkZ0cwXtN
Remi Wolf,Photo ID (with Dominic Fike),Photo ID (with Dominic Fike),spotify:track:0RW1UL8w8rjQkaIaljaFc5
Nathanie,Sunscreen,Sunscreen,spotify:track:0W7xlf67zsK37ByIPR6bm8
Drake,Views,One Dance,spotify:track:1zi7xx7UVEFkmKfv06H8x0
Akalé Wubé,Sost,Meri Tekikil,spotify:track:335jjNvfPZU5Ir0iD3CnKT
Doja Cat,Paint The Town Red,Paint The Town Red,spotify:track:2IGMVunIBsBLtEQyoI1Mu7
Aminé,Campfire,Campfire,spotify:track:4U5ovGD4My7MOISvUEtYaf
Aminé,ONEPOINTFIVE,SHINE,spotify:track:1OWGLpptXlHLw1yibeHiHa
Blood Orange,Palo Alto (Music from the Motion Picture),Champagne Coast,spotify:track:2p8IJfP7f5A2FF9uR8hlss
Wizkid,Joro,Joro,spotify:track:3Yt1ovsh3v3VEzRuhI1TL5
Out of Luck,indie boy,indie boy,spotify:track:4yUTsXPpjYn7CjONeXFTo0
Arctic Monkeys,AM,Why'd You Only Call Me When You're High?,spotify:track:086myS9r57YsLbJpU0TgK9
Bad Bunny,Callaita,Callaita,spotify:track:2TH65lNHgvLxCKXM3apjxI
"Tyler, The Creator",Cherry Bomb + Instrumentals,THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),spotify:track:7E3FdWpPkWTCggsanYXj30
KAYTRANADA,99.9%,YOU'RE THE ONE,spotify:track:70kdJnm1X6eEM8DbWa8Mnc
Pink Floyd,The Dark Side of the Moon,Breathe (In the Air),spotify:track:2ctvdKmETyOzPb2GiJJT53
Justin Bieber,Purpose,Sorry,spotify:track:09CtPGIpYB4BrO8qb1RGsF
Bayanni,Bayanni,Ta Ta Ta,spotify:track:3rmqNsOiGqqvFNTmGlzl4R
